model,type,arm,metric,n,mean,median,q25,q75
gpt-4o-mini,complex,backwards,bleu,25,0.23659081708108728,0.1651582159006904,0.13958734303905357,0.308198090959812
gpt-4o-mini,complex,backwards,chrf,25,0.5013708646838569,0.4779246298844583,0.3514794397781608,0.6265799802587669
gpt-4o-mini,complex,backwards,chrfpp,25,0.49049765117122085,0.45282246845971236,0.3553063015360044,0.6269403607235813
gpt-4o-mini,complex,backwards,comet,25,0.8111755442619324,0.8418673872947693,0.7386580109596252,0.8787242770195007
gpt-4o-mini,complex,comparator,bleu,25,0.05035275709087391,0.0402724819242185,0.033864985683445356,0.04990049701936832
gpt-4o-mini,complex,comparator,chrf,25,0.12426489090357774,0.10847486761911479,0.06107959163767597,0.14945187019199666
gpt-4o-mini,complex,comparator,chrfpp,25,0.12487796327725918,0.10979824412773131,0.06634716848399579,0.16046135770922132
gpt-4o-mini,complex,comparator,comet,25,0.3402538388967514,0.29643183946609497,0.2751672863960266,0.35678228735923767
gpt-4o-mini,nominalization,backwards,bleu,25,0.586568968485741,0.4976093899250716,0.3655552228545123,1.0000000000000004
gpt-4o-mini,nominalization,backwards,chrf,25,0.7761478761066647,0.7519090184713917,0.6338059354271742,1.0
gpt-4o-mini,nominalization,backwards,chrfpp,25,0.7684434040565777,0.738216714225366,0.6244904803756017,1.0
gpt-4o-mini,nominalization,backwards,comet,25,0.8794608116149902,0.888995349407196,0.8320520520210266,0.9611111283302307
gpt-4o-mini,nominalization,comparator,bleu,25,0.1934588375656507,0.15619699684601282,0.04456882760699063,0.3026643726685862
gpt-4o-mini,nominalization,comparator,chrf,25,0.38739377560463084,0.36955224015398275,0.22423290615055272,0.500177506458952
gpt-4o-mini,nominalization,comparator,chrfpp,25,0.3968774450295563,0.3762061008862726,0.21885607699646162,0.5317340456126233
gpt-4o-mini,nominalization,comparator,comet,25,0.4737331771850586,0.44721177220344543,0.4094547629356384,0.4870397448539734
gpt-4o-mini,subject-verb,backwards,bleu,25,0.6118745431892555,0.39763536438352515,0.2208959113415788,1.0000000000000004
gpt-4o-mini,subject-verb,backwards,chrf,25,0.8577807578633247,0.8995335972562464,0.7077238798317478,1.0
gpt-4o-mini,subject-verb,backwards,chrfpp,25,0.8483615673104488,0.8422259806501872,0.7130189783864198,1.0
gpt-4o-mini,subject-verb,backwards,comet,25,0.8592276835441589,0.9558613896369934,0.7076206207275391,0.9827297329902649
gpt-4o-mini,subject-verb,comparator,bleu,25,0.4610519240156999,0.17965205598154213,0.14535768424205484,1.0000000000000004
gpt-4o-mini,subject-verb,comparator,chrf,25,0.6381424901879178,0.650043801042665,0.27468752107061506,1.0
gpt-4o-mini,subject-verb,comparator,chrfpp,25,0.6417098333174666,0.6434040097547412,0.33785954824831743,1.0
gpt-4o-mini,subject-verb,comparator,comet,25,0.7086932075023651,0.6396023035049438,0.4735923409461975,0.981492817401886
gpt-4o-mini,subject-verb-object,backwards,bleu,25,0.4245040742368382,0.30213753973567675,0.30213753973567675,0.3799178428257963
gpt-4o-mini,subject-verb-object,backwards,chrf,25,0.7434935777053018,0.7309824791834609,0.6641043512256091,0.7841604461375645
gpt-4o-mini,subject-verb-object,backwards,chrfpp,25,0.7315601646660042,0.7114036178840952,0.6615353248788043,0.7853404318274047
gpt-4o-mini,subject-verb-object,backwards,comet,25,0.9205006885528565,0.9350432753562927,0.9083930850028992,0.9408068656921387
gpt-4o-mini,subject-verb-object,comparator,bleu,25,0.08749069813805982,0.033864985683445356,0.033864985683445356,0.04990049701936832
gpt-4o-mini,subject-verb-object,comparator,chrf,25,0.17025974062537572,0.07271633793961262,0.04539931899826595,0.19258045066209706
gpt-4o-mini,subject-verb-object,comparator,chrfpp,25,0.17759494660111247,0.07417833675086215,0.05389801843869732,0.21628022167756064
gpt-4o-mini,subject-verb-object,comparator,comet,25,0.34378253281116483,0.29432252049446106,0.24435189366340637,0.3438141345977783
gpt-4o-mini,two-clause,backwards,bleu,25,0.3473097451655109,0.3457207846419412,0.3457207846419412,0.3799178428257963
gpt-4o-mini,two-clause,backwards,chrf,25,0.7454114451451522,0.751174565774049,0.7289603107291289,0.7822484221659329
gpt-4o-mini,two-clause,backwards,chrfpp,25,0.7287813188753645,0.7419179572550663,0.7120516505239111,0.7620223664990357
